label,N,support,f1_baseline,f1_floor21,f1_gated,fp_baseline,fp_floor21,fp_gated
pau_Latn,100000,57,1.0,1.0,1.0,0,0,0
pbb_Latn,17747,56,0.9818181818181818,1.0,1.0,0,0,0
pcd_Latn,2213,58,0.0,0.0,0.0,6,1,1
pcm_Latn,33265,56,0.86,0.86,0.86,1,1,1
pis_Latn,100000,57,1.0,1.0,1.0,0,0,0
plt_Latn,100000,53,0.9906542056074767,0.9906542056074767,0.9814814814814815,1,1,2
pnb_Arab,100000,61,0.7547169811320755,0.7228915662650602,0.7228915662650602,38,45,45
pol_Latn,100000,59,0.9666666666666667,0.9752066115702479,0.9752066115702479,3,3,3
pon_Latn,100000,57,0.9911504424778761,0.9911504424778761,0.9911504424778761,0,0,0
por_Latn,100000,115,0.8914728682170543,0.888030888030888,0.8812260536398467,28,29,31
pov_Latn,23414,115,0.6857142857142856,0.6781609195402298,0.6781609195402298,0,0,0
quc_Latn,100000,58,0.8099173553719008,0.7903225806451614,0.7596899224806202,14,17,22
qug_Latn,100000,182,0.0,0.0,0.0,0,0,0
quh_Latn,50801,57,0.9739130434782608,0.9491525423728813,0.9491525423728813,2,5,5
quy_Latn,100000,60,0.6338797814207651,0.5800000000000001,0.4813278008298756,65,82,123
quz_Latn,100000,57,0.6605504587155963,0.6551724137931034,0.5671641791044776,16,21,39
qva_Latn,10970,59,0.03333333333333333,0.0,0.0,0,0,0
qvc_Latn,17482,58,0.5888324873096447,0.6270270270270271,0.6987951807228916,81,69,50
qvh_Latn,22988,58,0.0,0.0,0.0,0,0,0
qvm_Latn,16650,60,0.06451612903225806,0.03278688524590164,0.03278688524590164,0,0,0
qvn_Latn,17810,57,0.16129032258064516,0.06779661016949151,0.06779661016949151,0,0,0
qwh_Latn,17649,59,0.7543859649122807,0.6990291262135923,0.5894736842105264,12,8,8
qxn_Latn,17805,57,0.0,0.0,0.0,0,0,0
rar_Latn,100000,59,0.9915966386554621,0.9915966386554621,0.9752066115702479,1,1,3
rmn_Latn,100000,116,0.6892655367231638,0.6892655367231638,0.6892655367231638,0,0,0
roh_Latn,30545,399,0.9937106918238994,0.9949622166246851,0.9949622166246851,1,0,0
ron_Latn,100000,97,0.9896907216494846,0.9696969696969696,0.8727272727272727,1,5,27
run_Latn,100000,58,0.9491525423728815,0.9491525423728815,0.9491525423728815,4,4,4
rup_Latn,5032,57,0.896,0.9380530973451328,0.688888888888889,12,3,2
rus_Cyrl,100000,58,0.9666666666666666,0.9666666666666666,0.9586776859504132,4,4,5
sag_Latn,100000,59,0.7578947368421053,0.897196261682243,0.897196261682243,0,0,0
sah_Cyrl,100000,57,0.890625,0.8028169014084507,0.7450980392156863,14,28,39
san_Deva,100000,55,0.9908256880733944,0.9908256880733944,0.9908256880733944,0,0,0
sco_Latn,87458,58,0.9464285714285714,0.9464285714285714,0.9259259259259259,1,1,0
sey_Latn,17722,61,0.5412844036697247,0.5581395348837209,0.5514018691588786,98,94,94
shk_Latn,6733,55,0.9908256880733944,0.9908256880733944,0.9814814814814815,0,0,0
shn_Mymr,32679,56,1.0,1.0,1.0,0,0,0
shp_Latn,71688,62,0.9586776859504132,0.9586776859504132,0.9586776859504132,1,1,1
sid_Latn,100000,57,1.0,0.9913043478260869,0.9743589743589743,0,1,3
sin_Sinh,100000,59,1.0,1.0,1.0,0,0,0
skr_Arab,2026,63,0.4819277108433735,0.32,0.32,0,0,0
slk_Latn,100000,56,1.0,0.9911504424778761,0.9911504424778761,0,1,1
slv_Latn,100000,59,0.9661016949152542,0.957983193277311,0.95,2,3,4
sme_Latn,100000,58,1.0,1.0,1.0,0,0,0
smo_Latn,100000,63,0.9838709677419354,0.9838709677419354,0.9838709677419354,0,0,0
sna_Latn,100000,60,0.9743589743589743,0.9743589743589743,0.9661016949152542,0,0,1
snn_Latn,17690,136,0.3905325443786982,0.44571428571428573,0.44571428571428573,0,0,0
som_Latn,100000,57,1.0,1.0,0.9913043478260869,0,0,1
sot_Latn,73326,57,1.0,1.0,1.0,0,0,0
spa_Latn,100000,78,0.9811320754716981,0.9689440993788819,0.9689440993788819,3,5,5
srp_Cyrl,100000,59,0.9830508474576272,0.9830508474576272,0.9830508474576272,1,1,1
srp_Latn,79008,59,0.12698412698412698,0.12698412698412698,0.12698412698412698,0,0,0
srr_Latn,2867,58,0.9586776859504132,1.0,1.0,5,0,0
ssw_Latn,100000,60,0.9915966386554621,0.9915966386554621,0.9915966386554621,0,0,0
suk_Latn,22242,58,0.9913043478260869,0.9913043478260869,0.9913043478260869,0,0,0
sun_Latn,100000,66,0.9701492537313432,0.9558823529411765,0.8843537414965986,3,5,16
sus_Latn,21057,58,0.9827586206896551,0.9913043478260869,0.9913043478260869,1,0,0
swb_Latn,1096,58,0.9739130434782608,0.9734513274336283,0.9734513274336283,1,0,0
swe_Latn,100000,61,1.0,1.0,1.0,0,0,0
swh_Latn,100000,58,0.8199999999999998,0.780952380952381,0.719298245614035,1,6,15
tah_Latn,100000,57,0.0,0.0,0.034482758620689655,0,0,0
taj_Deva,17753,1,0.0,0.0,0.0,0,0,0
tam_Taml,100000,69,1.0,1.0,1.0,0,0,0
tat_Cyrl,100000,57,1.0,1.0,1.0,0,0,0
tbz_Latn,52480,60,0.7628865979381444,0.8235294117647058,0.8235294117647058,0,0,0
tca_Latn,17326,60,0.9915966386554621,0.9915966386554621,0.9915966386554621,0,0,0
tel_Telu,100000,58,1.0,1.0,1.0,0,0,0
tem_Latn,13526,55,1.0,1.0,1.0,0,0,0
tet_Latn,100000,58,1.0,1.0,1.0,0,0,0
tgk_Cyrl,100000,57,1.0,1.0,1.0,0,0,0
tha_Thai,100000,114,1.0,1.0,1.0,0,0,0
tir_Ethi,100000,58,0.8296296296296296,0.8382352941176471,0.8382352941176471,21,21,21
tiv_Latn,100000,67,0.9848484848484849,0.9848484848484849,0.9848484848484849,0,0,0
tly_Latn,3892,59,0.7564102564102563,0.7564102564102563,0.744186046511628,38,38,22
tob_Latn,42001,59,1.0,1.0,1.0,0,0,0
toi_Latn,100000,57,0.9824561403508771,0.9824561403508771,0.9824561403508771,1,1,1
toj_Latn,100000,57,1.0,1.0,1.0,0,0,0
ton_Latn,100000,60,1.0,1.0,0.9917355371900827,0,0,1
top_Latn,100000,59,0.9739130434782608,0.9827586206896551,1.0,0,0,0
tpi_Latn,100000,58,1.0,1.0,1.0,0,0,0
tsn_Latn,100000,58,1.0,0.9914529914529915,0.9914529914529915,0,1,1
tso_Latn,100000,114,0.9295774647887324,0.9444444444444444,0.9400921658986175,0,0,1
tsz_Latn,100000,59,0.9464285714285715,0.9827586206896551,0.9915966386554621,0,0,1
tuk_Cyrl,100000,57,1.0,1.0,1.0,0,0,0
tuk_Latn,100000,59,1.0,1.0,1.0,0,0,0
tur_Latn,100000,59,0.9516129032258065,0.944,0.8872180451127819,6,7,15
twi_Latn,100000,116,0.9957081545064378,0.9957081545064378,0.9872340425531915,1,1,3
tyv_Cyrl,100000,58,1.0,1.0,0.9914529914529915,0,0,1
tzh_Latn,100000,25,1.0,1.0,1.0,0,0,0
tzm_Tfng,1590,1,0.19999999999999998,0.19999999999999998,0.19999999999999998,8,8,8
tzo_Latn,100000,58,0.9913043478260869,1.0,0.983050847457627,0,0,2
