lang,n_scoreable,n_self_won,tau,excluded,cause
bwu_Latn,2000,1993,10.770972305297851,False,
bxh_Latn,2000,1994,20.963692564222548,False,
byv_Latn,1735,1728,35.16129365497165,False,
byx_Latn,2000,1999,31.483201658630367,False,
bzi_Thai,2000,2000,34.66170869509379,False,
caa_Latn,2000,2000,7.315290531794204,False,
caf_Latn,2000,1984,0.26517241566975897,False,
cag_Latn,2000,1994,50.27734768295288,False,
cao_Latn,2000,2000,14.953396489991082,False,
cas_Latn,2000,2000,79.91773993835449,False,
cav_Latn,2000,1996,20.860386149088544,False,
cbc_Latn,2000,1973,1.1126673977322017,False,
cbi_Latn,2000,2000,43.81966385769314,False,
cbt_Latn,2000,2000,64.18132751761543,False,
cbu_Latn,2000,1999,22.132528215408325,False,
cco_Latn,2000,2000,99.84316659774773,False,
ccp_Latn,2000,1999,30.10709836730957,False,
cdf_Latn,2000,2000,29.80108002098931,False,
cdo_Latn,2000,1999,175.03417418670654,False,
ceg_Latn,2000,2000,62.05925986862183,False,
cgc_Latn,2000,1990,6.7390089706420975,False,
chj_Latn,2000,2000,55.22698534562852,False,
cho_Latn,1031,1006,25.51434388891857,False,
chq_Latn,2000,2000,58.50858561642965,False,
chr_Cher,2000,2000,117.15300759006077,False,
chr_Latn,2000,1997,58.110196020507814,False,
chz_Latn,2000,2000,94.04822470609884,False,
cjo_Latn,2000,1979,0.8509697177463108,False,
cjp_Latn,2000,1996,37.33979371070862,False,
cjs_Cyrl,1320,1319,24.855461334228515,False,
cko_Latn,2000,1994,4.8696312558068175,False,
ckt_Cyrl,2000,1964,8.48367262694041,False,
cle_Latn,2000,2000,54.12429332790374,False,
clu_Latn,2000,1986,5.8804576841990155,False,
cly_Latn,2000,1650,1.1085371304829916,False,
cme_Latn,2000,1998,8.527969338989294,False,
cmo_Khmr,2000,1999,38.68093148498536,False,
cmo_Latn,2000,1988,2.0413826573689784,False,
cmr_Latn,2000,2000,63.83728701383803,False,
cnk_Latn,2000,1836,1.1101251379648844,False,
cnl_Latn,2000,1999,14.508237886047352,False,
cnt_Latn,2000,2000,53.222327661132816,False,
cnw_Latn,2000,1994,12.76731842719184,False,
coe_Latn,2000,2000,41.157938726637155,False,
cof_Latn,2000,1997,29.45324144744873,False,
con_Latn,2000,1999,11.48007658691405,False,
cos_Latn,2000,1970,3.203273826980591,False,
cot_Latn,2000,1993,4.301092767333987,False,
cou_Latn,2000,2000,41.765850609779356,False,
cpa_Latn,2000,2000,15.350713530392124,False,
cpb_Latn,2000,1963,0.1764183319091797,False,
cpc_Latn,2000,1987,0.15362002054850205,False,
cpu_Latn,2000,1982,0.0916060818566216,False,
cpy_Latn,2000,1988,2.629671099005805,False,
crh_Latn,2000,1941,0.5166348457336426,False,
cri_Latn,2000,1864,9.4329625831604,False,
crj_Cans,2000,1985,8.944979790581597,False,
crk_Cans,2000,1981,31.558979370117182,False,
crk_Latn,2000,1994,50.620173881361225,False,
crl_Cans,2000,1970,6.376458855523004,False,
crm_Cans,2000,1939,1.388350210571289,False,
crt_Latn,2000,2000,49.19194593811035,False,
crx_Latn,2000,1990,3.8533366104125975,False,
csb_Latn,2000,1971,9.777869842529297,False,
csk_Latn,2000,2000,6.578057548353414,False,
cso_Latn,2000,1998,20.423996734089297,False,
csw_Cans,124,70,-inf,True,low_calibration
csw_Latn,247,238,11.671893269220988,False,
cta_Latn,2000,2000,22.550570785734333,False,
cto_Latn,2000,1903,14.02114923756918,False,
cub_Latn,2000,1995,10.478120979309065,False,
cuc_Latn,2000,2000,37.9008509164598,False,
cui_Latn,2000,2000,16.502098900794977,False,
cul_Latn,2000,2000,25.753240932464593,False,
cut_Latn,2000,2000,12.24479956733914,False,
cux_Latn,2000,2000,115.4583044581943,False,
cwd_Cans,231,116,-inf,True,low_calibration
cwe_Latn,2000,1959,0.1292083816528319,False,
cwt_Latn,2000,2000,23.367572878858777,False,
cya_Latn,2000,1905,0.044509277343750035,False,
daa_Latn,2000,1995,10.290081252288813,False,
daf_Latn,2000,2000,68.09499766907162,False,
dag_Latn,2000,1989,44.12698527628581,False,
dak_Latn,2000,2000,56.38369431864421,False,
dar_Cyrl,1870,1859,19.35190435197618,False,
dbq_Latn,2000,1998,55.071520670572916,False,
ddg_Latn,1354,1327,21.876101625061033,False,
ddn_Latn,2000,2000,24.227766729672748,False,
des_Latn,2000,2000,19.746219523959688,False,
dga_Latn,2000,1996,6.25124417622884,False,
dgc_Latn,2000,2000,7.332016341400147,False,
dgi_Latn,2000,1996,10.556692338943481,False,
dhg_Latn,1607,1607,32.85874517618815,False,
dhm_Latn,2000,1993,7.064582015991211,False,
did_Latn,2000,2000,94.93346367645263,False,
dig_Latn,2000,1982,3.3085267176734074,False,
dip_Latn,2000,1992,3.2999775409698486,False,
dis_Latn,2000,1997,30.449922990587023,False,
diu_Latn,166,70,-inf,True,low_calibration
dje_Latn,2000,1987,12.653990914535523,False,
djr_Latn,2000,1996,10.707644785563152,False,
dks_Latn,2000,1944,0.6637945626576742,False,
dng_Cyrl,804,802,36.58371494140625,False,
dnw_Latn,2000,1999,68.17904516220092,False,
doi_Deva,2000,1877,2.8905231804741756,False,
dos_Latn,2000,1999,30.377330627441406,False,
dow_Latn,2000,1997,25.369002457173668,False,
drg_Latn,201,166,-inf,True,low_calibration
dsb_Latn,2000,1933,2.193756441752116,False,
dsh_Latn,2000,2000,79.7352136030833,False,
dtb_Latn,2000,1998,22.1895908279419,False,
dts_Latn,2000,1996,21.08380366516113,False,
dty_Deva,2000,1848,1.518776431274414,False,
due_Latn,2000,1995,6.707009192784627,False,
dug_Latn,2000,1989,4.636507232835557,False,
duo_Latn,2000,2000,8.865670001220703,False,
dur_Latn,2000,1999,67.00374089202882,False,
dwr_Ethi,1693,1587,1.7930139892578125,False,
dyi_Latn,2000,1997,9.28804781494141,False,
dyo_Latn,2000,1989,8.303878318956164,False,
dzo_Tibt,2000,1712,0.1554107167561849,False,
ebk_Latn,2000,1999,10.091242260742188,False,
eka_Latn,2000,1997,12.044326126098637,False,
eko_Latn,2000,1998,19.880349769592286,False,
eme_Latn,645,508,1.5524046726226803,False,
enb_Latn,2000,1999,13.978961083221435,False,
enl_Latn,2000,2000,67.84730079040527,False,
enq_Latn,2000,1995,7.590507937113444,False,
eri_Latn,2000,1998,15.34830947405497,False,
esi_Latn,2000,1938,1.9517623264736599,False,
esk_Latn,2000,1963,0.050237380981445305,False,
ess_Latn,2000,1993,20.26226137084961,False,
esu_Latn,2000,2000,24.892889896583558,False,
eto_Latn,153,137,-inf,True,low_calibration
etr_Latn,2000,2000,61.526811125013566,False,
etu_Latn,2000,2000,71.6110836751302,False,
eve_Cyrl,1953,1928,31.10660359611511,False,
