lang,N,degenerate,f1_nemo_baseline,fp_nemo_baseline,f1_nemo_floor21,fp_nemo_floor21,f1_nemo_gated,fp_nemo_gated,support
chq_Latn,10965,False,0.9990494296577946,2,0.9990494296577946,2,0.9985734664764623,2,1051
chr_Cher,11732,True,0.9982238010657194,1,0.9929328621908127,4,0.9929328621908127,4,281
chr_Latn,6768,False,0.9924178601516429,9,0.9957734573119188,5,0.9991518235793045,1,589
chu_Cyrl,27598,False,0.7366007451991973,1738,0.7420239641980655,1687,0.7420239641980655,1687,2670
chv_Cyrl,47817,False,0.9833700171191,72,0.9832620647525963,76,0.9832620647525963,76,4085
chw_Latn,99872,False,0.9708709724167915,289,0.9703839475207409,310,0.9703839475207409,310,10363
chz_Latn,17827,False,1.0,0,1.0,0,1.0,0,886
cjk_Latn,100000,False,0.956258219452227,1114,0.9556245903041011,1182,0.952024285754816,1329,17140
cjo_Latn,17378,False,0.9706390328151987,39,0.9695227142035652,41,0.9717579250720462,37,855
cjp_Latn,13518,False,0.9966455460305628,6,0.9966455460305628,6,0.9988793425476279,0,1340
cjs_Cyrl,1320,False,0.7676767676767677,23,0.9156626506024096,7,0.9870129870129869,1,38
cjv_Latn,24274,False,0.9924937447873228,9,0.9916527545909849,9,0.9916527545909849,9,595
ckb_Arab,100000,False,0.8741844769403826,2334,0.8741915527810584,2335,0.8739703691209132,2344,17683
cko_Latn,17723,False,0.9944649446494466,16,0.9947740547187212,16,0.9975323874151758,6,1619
ckt_Cyrl,2269,False,0.9657794676806085,8,0.9769230769230769,5,0.9841269841269841,0,128
cle_Latn,17829,False,1.0,0,1.0,0,1.0,0,904
clu_Latn,10945,False,0.8266214497668503,401,0.8379888268156426,369,0.9766734279918864,26,983
cly_Latn,13513,False,0.8757539203860072,78,0.8763592428513894,75,0.8774193548387096,72,1320
cme_Latn,17736,False,0.9959946595460615,7,0.9955516014234875,8,0.9973262032085561,4,1121
cmn_Hani,100000,False,0.8517293632271123,1914,0.8517947101533426,1919,0.8517899998894038,1920,101900
cmo_Khmr,11062,True,0.9572400388726919,87,0.9572400388726919,87,0.9928789420142421,4,986
cmo_Latn,17989,False,0.9835728952772074,20,0.982060481804203,23,0.9850899742930591,17,970
cmr_Latn,6689,False,0.9923142613151152,9,0.9974248927038626,3,0.9991386735572783,0,581
cnh_Latn,100000,False,0.9870857112236423,132,0.9871423979427837,139,0.9871022985737604,180,37673
cni_Latn,32688,False,0.9442449442449443,34,0.9456398640996602,34,0.9456398640996602,34,2759
cnk_Latn,11067,False,0.9454722492697177,30,0.9477794045876037,25,0.95242766061795,15,1053
cnl_Latn,17804,False,1.0,0,1.0,0,0.9996424740793707,0,1399
cnt_Latn,17808,False,1.0,0,1.0,0,1.0,0,913
cnw_Latn,6740,False,0.9813242784380306,22,0.9838297872340426,19,0.9869451697127937,4,578
coe_Latn,17384,False,0.9986082115518442,4,0.9986082115518442,4,0.9996516893068618,1,1435
cof_Latn,16915,False,0.9845984598459846,24,0.9845984598459846,24,0.9938854919399667,6,899
cok_Latn,28590,False,0.8472434915773354,161,0.8472434915773354,161,0.8472434915773354,161,2850
con_Latn,17696,False,0.9949698189134809,9,0.9944695827048768,10,0.996969696969697,3,990
cop_Copt,27503,True,0.9998185447287244,1,0.99909338168631,5,0.99909338168631,5,2755
cor_Latn,41440,False,0.9876601803512102,77,0.9857954545454546,95,0.9857954545454546,95,4189
cos_Latn,9423,False,0.6682867557715674,799,0.7088172043010752,656,0.8907193849533224,165,845
cot_Latn,17733,False,0.9886792452830189,18,0.9886792452830189,18,0.9929615592853275,10,920
cou_Latn,6745,False,0.9966666666666666,4,0.9983305509181971,2,0.9991645781119466,1,598
cpa_Latn,17827,False,0.9983597594313832,3,0.9983597594313832,3,0.9978118161925601,3,913
cpb_Latn,17824,False,0.9518716577540107,62,0.9549356223175967,56,0.9548872180451128,55,918
cpc_Latn,17825,False,0.9800838574423479,29,0.9811122770199371,27,0.9811122770199371,27,944
cpu_Latn,17825,False,0.9117063492063491,167,0.910802775024777,169,0.9112543381259297,168,930
cpy_Latn,14716,False,0.9567765567765567,46,0.9588839941262848,43,0.9659763313609468,33,666
crh_Cyrl,38964,False,0.952054794520548,231,0.9514623522090853,235,0.9514623522090853,235,3135
crh_Latn,17238,False,0.5430876420975431,2419,0.5429565854552115,2423,0.5967676767676768,1919,1554
cri_Latn,2059,False,0.18848167539267016,614,0.4516129032258064,162,0.8789808917197452,10,78
crj_Cans,4295,True,0.9893778452200304,6,0.9893778452200304,6,0.9893778452200304,6,327
crk_Cans,4454,True,0.988795518207283,4,0.9874125874125874,5,0.9874125874125874,5,357
crk_Latn,6188,False,0.9899909008189264,9,0.991810737033667,8,0.995433789954338,4,546
crl_Cans,4295,True,0.9936507936507936,0,0.9936507936507936,0,0.9936507936507936,0,317
crm_Cans,11058,True,0.9723018147086915,14,0.9723018147086915,14,0.9723018147086915,14,1062
crn_Latn,37171,False,0.9015403573629083,641,0.9015403573629083,641,0.9015403573629083,641,3816
crs_Latn,100000,False,0.9854186887849643,812,0.985736017107961,825,0.9855672829032898,857,45181
crt_Latn,10872,False,0.993643031784841,13,0.9941291585127202,12,0.9990167158308751,2,1016
crx_Latn,11044,False,0.9887005649717514,19,0.988235294117647,20,0.9915014164305949,13,1055
csb_Latn,9336,False,0.5295912141549726,1527,0.5684348395546824,1303,0.9504730105731776,60,883
csk_Latn,17816,False,0.989749430523918,18,0.9891861126920888,19,0.9948483113909559,9,869
cso_Latn,17825,False,0.9974632166412988,2,0.9974632166412988,2,0.9974632166412988,2,986
csw_Cans,124,True,0.22222222222222224,12,0.36363636363636365,5,0.36363636363636365,5,4
csw_Latn,247,False,0.0915032679738562,139,0.9333333333333333,1,0.9333333333333333,1,7
csy_Latn,36704,False,0.9808449938867001,76,0.9801792017377138,81,0.9801792017377138,81,3675
cta_Latn,17725,False,0.9978425026968716,0,0.9978425026968716,0,0.9973016729627631,0,929
ctd_Latn,66425,False,0.8790709416813935,587,0.8789433835282241,590,0.8789433835282241,590,6073
cto_Latn,16604,False,0.9566318455207343,28,0.9557242251739405,31,0.9613541999361227,6,1620
ctp_Latn,25169,False,0.9988636363636364,2,0.9988636363636364,2,0.9988636363636364,2,1760
ctu_Latn,100000,False,0.9973585289037894,8,0.9975877916867684,9,0.9974110360932028,20,19730
cub_Latn,17667,False,0.9943235572374646,7,0.9943235572374646,7,0.9966808914177335,2,1056
cuc_Latn,17804,False,1.0,0,1.0,0,1.0,0,899
cui_Latn,17685,False,0.9978046103183316,4,0.9967105263157894,6,0.9989010989010989,2,909
cuk_Latn,44245,False,0.9844653179190752,60,0.9835769716657644,65,0.9835769716657644,65,2751
cul_Latn,17610,False,0.9967248908296943,6,0.9961811238406983,7,0.9989059080962801,2,913
cut_Latn,17581,False,0.9934426229508196,12,0.9939857845817387,11,0.9978021978021978,3,909
cux_Latn,11059,False,0.9995244888254874,1,0.9995244888254874,1,1.0,0,1051
cwd_Cans,231,True,0.5185185185185185,12,0.9333333333333333,0,0.9333333333333333,0,8
cwe_Latn,17817,False,0.8952380952380953,188,0.9006555723651034,176,0.907520325203252,161,914
cwt_Latn,13447,False,0.981060606060606,50,0.9840425531914894,42,0.9938461538461538,13,1295
cya_Latn,17827,False,0.8430173292558614,242,0.8418912048805287,246,0.842319430315361,245,893
cym_Latn,100000,False,0.9923778708074119,212,0.9918512223166525,254,0.9907881609577651,352,29995
czt_Latn,19062,False,0.9981348254729551,4,0.9976031957390146,6,0.9976031957390146,6,1876
daa_Latn,17721,False,0.9915094339622642,15,0.9915094339622642,15,0.9947941315664932,8,1054
dad_Latn,24369,False,0.9818481848184818,17,0.9810387469084915,18,0.9810387469084915,18,600
daf_Latn,10483,False,0.9964376590330789,7,0.9969450101832994,6,0.9989795918367348,2,979
dag_Latn,11906,False,0.7066929133858268,888,0.6777847702957835,1018,0.943445857080228,122,1083
dah_Latn,23848,False,0.9968051118210862,4,0.9960095770151637,5,0.9960095770151637,5,624
dak_Latn,2019,False,0.8444444444444443,35,0.9500000000000001,10,0.979381443298969,4,95
dan_Latn,100000,False,0.9588834346623046,5080,0.9590956374557015,5431,0.9590857324003195,5832,348795
dar_Cyrl,1870,False,0.7472527472527472,46,0.8395061728395062,26,0.9444444444444444,8,68
dbq_Latn,6656,False,0.9883616830796776,11,0.989247311827957,10,0.9963898916967509,2,554
ddg_Latn,1354,False,0.37554585152838427,142,0.8958333333333334,9,0.9397590361445783,0,44
ddn_Latn,6765,False,0.9862570735650767,17,0.9870340356564019,15,0.9870340356564019,15,610
