lang,N,row_treatment,gate_on,rule_clause,floor_unmod,floor_assigned,seen_rescale,target_lang,floor_gap_shift
cto_Latn,16604,floor21,True,else_floor21_gate,-16.821215,-21.0,0.0,emp_Latn,-3.437525000000001
ctp_Latn,25169,unmod,False,head_unmod,-18.264938,,0.0,bjn_Latn,0.0
ctu_Latn,100000,unmod,False,head_unmod,-18.953484,,0.0,,
cub_Latn,17667,floor21,True,else_floor21_gate,-17.891972,-21.0,0.0,bao_Latn,0.0
cuc_Latn,17804,floor21,True,else_floor21_gate,-17.75289,-21.0,0.0,cso_Latn,0.0
cui_Latn,17685,floor21,True,else_floor21_gate,-17.973303,-21.0,0.0,shp_Latn,-2.7251340000000006
cuk_Latn,44245,unmod,False,head_unmod,-18.362228,,0.0,srd_Latn,0.0
cul_Latn,17610,floor21,True,else_floor21_gate,-17.934414,-21.0,0.0,cao_Latn,0.0
cut_Latn,17581,floor21,True,else_floor21_gate,-17.529112,-21.0,0.0,arg_Latn,-3.4299409999999995
cux_Latn,11059,floor21,True,else_floor21_gate,-17.335728,-21.0,0.0,mie_Latn,0.0
cwd_Cans,231,floor21,True,else_floor21_gate,-13.782271,-21.0,0.0,crk_Cans,0.0
cwe_Latn,17817,floor21,True,else_floor21_gate,-17.279568,-21.0,0.0,kdc_Latn,0.0
cwt_Latn,13447,floor21,True,else_floor21_gate,-17.219446,-21.0,0.0,dyo_Latn,0.0
cya_Latn,17827,floor21,True,else_floor21_gate,-17.414726,-21.0,0.0,ctp_Latn,-2.735061999999999
cym_Latn,100000,unmod,False,head_unmod,-19.19664,,0.0,,
czt_Latn,19062,unmod,False,head_unmod,-17.539667,,0.0,cfm_Latn,0.0
daa_Latn,17721,floor21,True,else_floor21_gate,-17.507416,-21.0,0.0,fuv_Latn,-3.190923999999999
dad_Latn,24369,unmod,False,head_unmod,-17.700417,,0.0,hau_Latn,0.0
daf_Latn,10483,floor21,True,else_floor21_gate,-16.531261,-21.0,0.0,dnj_Latn,-2.8782560000000004
