lang,tier
itv_Latn,genus_script
ium_Latn,family_script
ivb_Latn,family_script
ivv_Latn,script
iws_Latn,script
ixl_Latn,genus_script
izr_Latn,family_script
izz_Latn,family_script
jaa_Latn,script
jac_Latn,genus_script
jae_Latn,genus_script
jam_Latn,genus_script
jav_Java,none
jav_Latn,family_script
jbo_Latn,script
jbu_Latn,family_script
jic_Latn,script
jiv_Latn,genus_script
jmc_Latn,script
jpn_Jpan,none
jra_Latn,script
jun_Orya,script
jvn_Latn,script
kaa_Cyrl,genus_script
kaa_Latn,genus_script
kab_Latn,family_script
kac_Latn,genus_script
kak_Latn,script
kal_Latn,script
kam_Latn,genus_script
kan_Knda,none
kan_Latn,script
kao_Latn,genus_script
kap_Cyrl,script
kaq_Latn,genus_script
kas_Arab,family_script
kas_Deva,genus_script
kas_Latn,genus_script
kat_Geor,script
kaz_Cyrl,genus_script
kbc_Latn,script
kbd_Cyrl,script
kbh_Latn,script
kbm_Latn,script
kbo_Latn,script
kbp_Latn,genus_script
kbq_Latn,genus_script
kbr_Latn,genus_script
kby_Latn,script
kca_Cyrl,family_script
kcg_Latn,family_script
kck_Latn,genus_script
kdc_Latn,script
kde_Latn,genus_script
kdh_Latn,genus_script
kdi_Latn,script
kdj_Latn,genus_script
kdl_Latn,script
kdr_Latn,genus_script
kea_Latn,script
kei_Latn,family_script
kek_Latn,genus_script
ken_Latn,family_script
keo_Latn,script
ker_Latn,family_script
kew_Latn,family_script
kex_Deva,genus_script
kez_Latn,script
kff_Telu,script
kgf_Latn,script
kgk_Latn,genus_script
kgp_Latn,script
kgr_Latn,script
kha_Latn,family_script
khk_Cyrl,family_script
khm_Khmr,none
khq_Latn,script
khs_Latn,script
khy_Latn,script
khz_Latn,script
kia_Latn,family_script
kij_Latn,genus_script
kik_Latn,genus_script
kin_Latn,genus_script
kir_Cyrl,genus_script
kiu_Latn,script
kix_Latn,script
kjb_Latn,genus_script
kje_Latn,family_script
kjh_Cyrl,genus_script
kjs_Latn,script
kkc_Latn,script
kki_Latn,genus_script
kkj_Latn,script
kkl_Latn,family_script
kle_Deva,script
klt_Latn,script
klv_Latn,script
kma_Latn,genus_script
kmb_Latn,script
kmd_Latn,script
kmg_Latn,genus_script
