lang,n_scoreable,n_self_won,tau,excluded
gnb_Latn,2000,1997,13.875470922851562,False
gnd_Latn,2000,1996,67.23207545280457,False
gng_Latn,2000,2000,10.323613386959497,False
gnn_Latn,2000,1996,5.245177076975504,False
goa_Latn,1598,1593,36.725054397922094,False
gof_Ethi,2000,1999,6.722488668060307,False
gof_Latn,2000,1983,0.907756184895832,False
gog_Latn,2000,1994,11.032912830140853,False
goh_Latn,306,260,5.017664009857177,False
gom_Deva,2000,1860,1.735855165608724,False
gor_Latn,2000,1998,46.87609410120646,False
gos_Latn,2000,1983,3.3890575664096407,False
got_Goth,2000,2000,54.83393170909882,False
got_Latn,2000,1979,9.840988628217906,False
gqr_Latn,2000,2000,24.040612839084204,False
grt_Beng,2000,1993,42.485881341044106,False
gud_Latn,2000,2000,47.949365028381344,False
guh_Latn,2000,2000,22.911564901267155,False
guj_Latn,2000,1928,5.611346246825324,False
guk_Ethi,2000,1999,33.0834967086792,False
gul_Latn,2000,1999,7.3084229888916035,False
gun_Latn,2000,1991,6.114041901906328,False
guo_Latn,2000,2000,35.69288185043335,False
guq_Latn,2000,1999,47.84751590805054,False
guu_Latn,2000,2000,100.6514244058821,False
guz_Latn,2000,1993,19.203666251627602,False
gvl_Latn,2000,1998,22.30138990372553,False
gvn_Latn,2000,1999,45.6218319442749,False
gwi_Latn,2000,2000,33.271813481224875,False
gwr_Latn,2000,1999,20.73163039932251,False
hae_Latn,2000,1996,5.562701960245768,False
hag_Latn,2000,1999,12.326953125,False
hak_Latn,2000,1970,51.148638605414504,False
hav_Latn,2000,1949,2.739225069512261,False
haw_Latn,2000,1979,20.319391349283855,False
hay_Latn,2000,1610,1.1428823435465494,False
hig_Latn,2000,1995,56.27413859049481,False
hix_Latn,2000,2000,44.34435897411769,False
hlt_Latn,2000,1998,11.207274240239462,False
hnn_Latn,2000,2000,23.859412554338242,False
hoc_Latn,380,380,13.100893553415935,False
hoc_Wara,499,499,101.36448190854391,False
hop_Latn,2000,2000,60.823872324180606,False
hto_Latn,2000,2000,13.873204312748358,False
hun_Hung,2000,2000,77.1728286743164,False
hvn_Latn,2000,1992,37.56450390252007,False
hwc_Latn,2000,1998,25.344291874186197,False
icr_Latn,2000,1999,8.528526721954345,False
ife_Latn,2000,2000,43.806881574609534,False
ifk_Latn,2000,1997,3.3959922790527344,False
ifu_Latn,2000,1993,9.676460042317709,False
ikt_Latn,1601,1601,35.692274441189234,False
ikw_Latn,2000,1998,6.589393533325186,False
ilb_Latn,2000,1998,11.13693567138248,False
ile_Latn,2000,1875,0.5263750567118327,False
inb_Latn,2000,1998,6.932332849121023,False
inh_Cyrl,2000,1830,11.377970739830864,False
iqw_Latn,2000,1986,4.918245749791463,False
iri_Latn,2000,1998,18.147540483114454,False
irk_Latn,2000,1998,52.491172247250866,False
iry_Latn,2000,1996,27.8902809381485,False
isd_Latn,2000,2000,46.54221003952026,False
itl_Cyrl,978,978,75.0392104947408,False
itv_Latn,2000,1996,26.05031591796875,False
ivb_Latn,2000,2000,32.81142182625665,False
ivv_Latn,2000,1997,25.399964538574217,False
izr_Latn,2000,1998,6.996916380733903,False
jaa_Latn,2000,1992,61.99913487493727,False
jav_Java,2000,2000,77.72236218299865,False
jbo_Latn,2000,1991,4.335895389556885,False
jbu_Latn,2000,1998,35.31922273635864,False
jic_Latn,2000,2000,39.34403314336142,False
jiv_Latn,2000,2000,6.371654686609918,False
jmc_Latn,2000,2000,19.913465090942385,False
jun_Orya,2000,1994,51.815733706665036,False
kak_Latn,165,162,-inf,True
kan_Latn,2000,1952,5.97709065352546,False
kao_Latn,2000,1998,25.61908823971219,False
kap_Cyrl,776,776,65.64459038628472,False
kas_Arab,2000,1993,15.31192185872396,False
kas_Deva,2000,1973,6.719095812310112,False
kas_Latn,405,404,21.92889835357666,False
kbc_Latn,2000,2000,37.80043607605827,False
kbh_Latn,2000,2000,40.21272548357645,False
kbo_Latn,2000,2000,60.504139472113714,False
kbr_Latn,2000,1999,38.18654985046387,False
kby_Latn,1099,1096,21.05991864713033,False
kca_Cyrl,951,946,40.904708483695984,False
kcg_Latn,2000,2000,86.04151693556044,False
kdc_Latn,2000,1964,0.36067258463965524,False
kdh_Latn,1820,1820,76.01091889614528,False
kdi_Latn,2000,2000,5.828577100372314,False
kdj_Latn,2000,1997,20.173417288886174,False
kdl_Latn,2000,1999,4.9678311386108405,False
kdr_Latn,85,85,-inf,True
kei_Latn,226,224,23.707417715708413,False
ken_Latn,2000,2000,22.069908142089844,False
keo_Latn,2000,2000,43.21170640640259,False
ker_Latn,2000,2000,64.47619433479309,False
kex_Deva,739,723,3.53649323103163,False
kez_Latn,2000,1998,48.314561572265625,False
kff_Telu,2000,1998,31.82863276278178,False
kgk_Latn,2000,1993,17.156714210510252,False
kgr_Latn,2000,1998,67.79394915835063,False
khq_Latn,2000,1997,20.39238764444987,False
khs_Latn,2000,2000,37.83403096644085,False
khy_Latn,2000,1996,26.582019249598183,False
kix_Latn,2000,2000,49.73478773837619,False
kje_Latn,2000,1999,15.547042241096497,False
kkc_Latn,2000,2000,56.218489505683046,False
kki_Latn,2000,1997,1.0974948587205675,False
kkj_Latn,2000,2000,16.98402628385762,False
kkl_Latn,2000,2000,72.117330476337,False
kle_Deva,2000,1997,30.323230969746906,False
klt_Latn,2000,2000,87.22222900390625,False
kma_Latn,2000,1991,5.879425368414985,False
kmd_Latn,2000,2000,55.347843669679435,False
kmg_Latn,2000,1998,64.91227829437256,False
kmk_Latn,2000,1995,7.969383256700273,False
kmr_Cyrl,2000,2000,69.44034681498209,False
kmy_Latn,2000,1991,2.9073630777994794,False
knc_Arab,2000,1871,51.934592720667524,False
knc_Latn,2000,1944,2.397858478630914,False
kne_Latn,2000,2000,3.2549400838216096,False
knk_Latn,2000,1998,14.943063944837782,False
kno_Latn,2000,2000,50.26921776707967,False
knx_Latn,351,347,28.585402277374268,False
kny_Latn,2000,1964,39.20572436332703,False
kog_Latn,2000,2000,35.45692539145155,False
koi_Cyrl,2000,1794,0.7187224860297309,False
