lang,script,N,logN,H,zH,peak,k_close,d_nn,nn_lang,d_up,target_lang,up_resratio,support_val,fp_val,magnet_ratio,category
msc_Latn,Latn,4006,3.603,2.9326,1.143,0.2,128,0.5059,bam_Latn,0.5059,bam_Latn,0.2143,3,0,0.0,mid
mse_Latn,Latn,11044,4.043,2.8725,0.301,0.2,84,0.708,mcn_Latn,0.708,mcn_Latn,0.3588,11,0,0.0,mid
msk_Latn,Latn,17461,4.242,2.8868,0.501,0.2,59,0.4326,kqe_Latn,0.4326,kqe_Latn,0.9825,12,0,0.0,mid
msm_Latn,Latn,17525,4.244,2.9128,0.865,0.2,62,0.3765,mbd_Latn,0.5257,atd_Latn,0.9959,11,0,0.0,mid
msy_Latn,Latn,23880,4.378,2.8119,-0.547,0.2,12,0.7974,spm_Latn,1.236,bjn_Latn,0.8635,7,0,0.0,head
mta_Latn,Latn,17707,4.248,2.8757,0.347,0.2,45,0.8874,kak_Latn,0.9489,mbt_Latn,0.9976,12,0,0.0,mid
mtg_Latn,Latn,10910,4.038,2.8749,0.335,0.2,36,0.9122,sby_Latn,1.0877,nlc_Latn,0.814,11,0,0.0,mid
mti_Latn,Latn,37906,4.579,2.8403,-0.149,0.2,23,0.8463,dgz_Latn,1.0946,jav_Latn,0.3791,6,0,0.0,head
mtj_Latn,Latn,13341,4.125,2.8169,-0.477,0.2,24,0.9434,aqz_Latn,1.215,ile_Latn,0.9256,14,0,0.0,mid
mto_Latn,Latn,24568,4.39,2.8194,-0.442,0.2,2,0.9672,kdr_Latn,1.2392,pxm_Latn,0.8071,14,0,0.0,head
mtp_Latn,Latn,17826,4.251,2.8121,-0.544,0.2,9,0.967,tzl_Latn,1.0516,mzh_Latn,0.5923,16,0,0.0,mid
mua_Latn,Latn,11045,4.043,2.808,-0.602,0.2,39,0.8931,vot_Latn,1.0619,kia_Latn,0.2641,13,0,0.0,mid
mug_Latn,Latn,30584,4.486,2.8359,-0.211,0.2,36,0.9289,kas_Latn,0.9623,giz_Latn,0.8905,28,0,0.0,head
muh_Latn,Latn,17927,4.254,2.8224,-0.4,0.2,15,0.962,mrv_Latn,1.1877,bam_Latn,0.9588,17,0,0.0,mid
mui_Latn,Latn,2590,3.413,3.0697,3.061,0.2,333,0.3305,bew_Latn,0.3305,bew_Latn,0.159,4,3,0.6,mid
mup_Deva,Deva,6754,3.83,2.8326,-0.46,0.2,51,0.4633,mag_Deva,0.4633,mag_Deva,0.5257,6,1,0.143,mid
mur_Latn,Latn,13305,4.124,2.9022,0.717,0.2,61,0.8325,kdr_Latn,0.9969,bam_Latn,0.7116,11,0,0.0,mid
mus_Latn,Latn,406,2.61,3.5926,10.379,0.2,790,0.2022,tzl_Latn,0.3015,arr_Latn,0.7098,0,0,0.0,flat_magnet
mux_Latn,Latn,30379,4.483,2.8277,-0.326,0.2,1,0.7476,ubu_Latn,0.7476,ubu_Latn,0.5194,11,0,0.0,head
muy_Latn,Latn,17784,4.25,2.8857,0.486,0.2,43,0.9136,kdr_Latn,0.9879,meq_Latn,0.9989,17,0,0.0,mid
