lang,script,N,logN,H,zH,peak,k_close,d_nn,nn_lang,d_up,target_lang,up_resratio,support_val,fp_val,magnet_ratio,category
rme_Latn,Latn,366,2.565,3.4196,7.958,0.2,697,0.3284,ldn_Latn,0.3668,thv_Latn,0.9839,0,1,1.0,flat_magnet
rml_Latn,Latn,1790,3.253,3.1107,3.634,0.2,298,0.5523,kdr_Latn,0.605,rmc_Latn,0.0457,2,2,0.667,mid
rmn_Cyrl,Cyrl,64930,4.812,2.8272,-0.559,0.2,48,0.3891,mkd_Cyrl,0.3891,mkd_Cyrl,0.6493,62,24,0.381,head
rmn_Grek,Grek,79160,4.899,2.6416,-1.02,0.2,3,0.2604,ell_Grek,0.2604,ell_Grek,0.7916,74,45,0.6,head
rmn_Latn,Latn,100000,5.0,2.9284,1.083,0.2,140,0.4887,rmy_Latn,,,,122,10,0.081,head
rmo_Latn,Latn,16689,4.222,2.8807,0.416,0.2,76,0.7754,rml_Latn,0.7769,rmy_Latn,0.2364,16,1,0.059,mid
rmq_Latn,Latn,3913,3.593,3.0016,2.108,0.2,204,0.5441,spa_Latn,0.5441,spa_Latn,0.0391,3,1,0.25,mid
rmy_Cyrl,Cyrl,30085,4.478,2.8254,-0.583,0.2,58,0.6577,mdf_Cyrl,0.6695,rmn_Cyrl,0.4633,31,5,0.156,head
rmy_Latn,Latn,70602,4.849,3.0071,2.185,0.2,241,0.4887,rmn_Latn,0.4887,rmn_Latn,0.706,65,4,0.061,head
rnd_Latn,Latn,24508,4.389,2.9069,0.783,0.2,121,0.7687,sby_Latn,0.7886,lun_Latn,0.2451,21,1,0.045,head
rng_Latn,Latn,65043,4.813,2.8908,0.558,0.2,116,0.3335,tso_Latn,0.3335,tso_Latn,0.6504,60,1,0.016,head
rnl_Latn,Latn,21989,4.342,2.8918,0.571,0.2,106,0.4432,aim_Latn,0.6478,hra_Latn,0.7182,26,0,0.0,head
roh_Latn,Latn,30545,4.485,2.9744,1.727,0.2,245,0.3738,lmo_Latn,0.3738,lmo_Latn,0.5218,27,10,0.357,head
ron_Cyrl,Cyrl,30637,4.486,2.8125,-0.754,0.2,55,0.622,lfn_Cyrl,0.6936,mhr_Cyrl,0.3064,28,6,0.207,head
ron_Latn,Latn,100000,5.0,2.9537,1.438,0.2,203,0.5615,rmy_Latn,,,,1371,11,0.008,head
roo_Latn,Latn,24068,4.381,2.7263,-1.745,0.2,1,0.9856,mrv_Latn,1.1984,tbg_Latn,0.5368,6,0,0.0,head
rop_Latn,Latn,54485,4.736,2.804,-0.658,0.2,0,1.0205,kas_Latn,1.1308,tpi_Latn,0.5448,44,0,0.0,head
row_Latn,Latn,14225,4.153,2.8531,0.03,0.2,51,0.4929,rgu_Latn,0.5604,txq_Latn,0.7752,2,0,0.0,mid
rro_Latn,Latn,24580,4.391,2.8187,-0.452,0.2,30,0.9023,mrv_Latn,1.0305,gil_Latn,0.2458,6,0,0.0,head
rtm_Latn,Latn,8987,3.954,2.8085,-0.594,0.2,75,0.7732,mgm_Latn,0.9803,frr_Latn,0.8326,9,1,0.1,mid
rub_Latn,Latn,11018,4.042,2.9176,0.932,0.2,80,0.6553,nyo_Latn,0.6553,nyo_Latn,0.8145,11,0,0.0,mid
rue_Cyrl,Cyrl,8501,3.93,2.9476,1.027,0.2,106,0.2059,ukr_Cyrl,0.2059,ukr_Cyrl,0.085,7,185,23.125,mid
ruf_Latn,Latn,17822,4.251,2.9162,0.913,0.2,124,0.5786,kki_Latn,0.5786,kki_Latn,0.9997,9,0,0.0,mid
rug_Latn,Latn,30060,4.478,2.8612,0.144,0.2,35,0.9134,mrv_Latn,1.0533,fij_Latn,0.3006,24,0,0.0,head
run_Latn,Latn,100000,5.0,2.9667,1.62,0.2,198,0.0826,kin_Latn,,,,1169,175,0.15,twin
rup_Latn,Latn,5032,3.702,3.0041,2.143,0.2,214,0.5749,ron_Latn,0.5749,ron_Latn,0.0503,3,5,1.25,mid
rus_Cyrl,Cyrl,100000,5.0,2.9104,0.537,0.2,50,0.311,bul_Cyrl,,,,7610,19,0.002,head
rwo_Latn,Latn,51384,4.711,2.7737,-1.081,0.2,0,1.0705,diu_Latn,1.2298,xho_Latn,0.5138,19,0,0.0,head
sab_Latn,Latn,16901,4.228,2.757,-1.315,0.2,0,1.0019,zpj_Latn,1.2133,kck_Latn,0.643,8,0,0.0,mid
sag_Latn,Latn,100000,5.0,2.8127,-0.535,0.2,36,0.7806,ngb_Latn,,,,840,0,0.0,head
sah_Cyrl,Cyrl,100000,5.0,2.8569,-0.168,0.2,57,0.6045,kir_Cyrl,,,,113,0,0.0,head
saj_Latn,Latn,6675,3.825,2.8893,0.536,0.2,74,0.7736,tby_Latn,0.7736,tby_Latn,0.4973,5,0,0.0,mid
san_Deva,Deva,100000,5.0,2.8202,-0.631,0.2,30,0.3414,dty_Deva,,,,131,13,0.098,head
san_Latn,Latn,36337,4.56,2.8579,0.097,0.2,74,0.626,guj_Latn,0.9632,lvs_Latn,0.3634,34,0,0.0,head
sas_Latn,Latn,13444,4.129,2.9007,0.696,0.2,72,0.8144,ban_Latn,0.8144,ban_Latn,0.3217,12,0,0.0,mid
sat_Latn,Latn,10932,4.039,2.8464,-0.064,0.2,57,0.8465,asm_Latn,1.0609,jbo_Latn,0.8788,12,0,0.0,mid
sat_Olck,Olck,16858,4.227,2.6613,0.0,0.2,0,1.0932,lad_Hebr,,,,14,0,0.0,mid
say_Latn,Latn,693,2.841,3.3123,6.457,0.2,200,0.4004,aqz_Latn,0.6111,prg_Latn,0.7778,1,2,1.0,flat_magnet
sba_Latn,Latn,37535,4.574,2.7884,-0.876,0.2,0,1.0065,zpj_Latn,1.1549,kia_Latn,0.8974,32,0,0.0,head
sbd_Latn,Latn,13463,4.129,2.7996,-0.719,0.2,35,0.8006,mev_Latn,0.9302,bam_Latn,0.7201,13,0,0.0,mid
sbe_Latn,Latn,14275,4.155,2.8658,0.207,0.2,53,0.7481,bxh_Latn,0.7981,tte_Latn,0.4679,8,0,0.0,mid
sbl_Latn,Latn,17703,4.248,2.902,0.714,0.2,58,0.5087,xsb_Latn,0.5087,xsb_Latn,0.9933,16,0,0.0,mid
sbs_Latn,Latn,271,2.435,3.6835,11.651,0.2,1063,0.1761,sby_Latn,0.2143,max_Latn,0.8138,1,23,11.5,flat_magnet
sby_Latn,Latn,172,2.238,3.7576,12.688,0.2,1305,0.1273,ldn_Latn,0.1432,tzl_Latn,0.9053,0,0,0.0,flat_magnet
sck_Deva,Deva,6800,3.833,2.8519,-0.195,0.2,55,0.3866,mag_Deva,0.3866,mag_Deva,0.5293,7,0,0.0,mid
scn_Latn,Latn,62189,4.794,2.9881,1.919,0.2,247,0.2055,cos_Latn,0.3305,ita_Latn,0.6219,46,9,0.191,head
sco_Latn,Latn,87458,4.942,3.0276,2.472,0.2,276,0.2178,eng_Latn,0.2178,eng_Latn,0.8746,87,398,4.523,flat_magnet
sda_Latn,Latn,18554,4.268,2.8657,0.206,0.2,80,0.5032,mqj_Latn,0.5032,mqj_Latn,0.756,8,1,0.111,head
sdc_Latn,Latn,692,2.841,3.3777,7.372,0.2,784,0.3518,tzl_Latn,0.3972,cos_Latn,0.0734,1,1,0.5,flat_magnet
sdh_Arab,Arab,100000,5.0,2.8301,-0.211,0.2,16,0.1892,ckb_Arab,,,,94,6,0.063,twin
sdo_Latn,Latn,643,2.809,3.4546,8.447,0.2,599,0.3141,max_Latn,0.4384,eme_Latn,0.9969,0,0,0.0,flat_magnet
sdq_Latn,Latn,12828,4.108,2.9521,1.416,0.2,87,0.771,abs_Latn,0.8061,bjn_Latn,0.4639,13,1,0.071,mid
seh_Latn,Latn,100000,5.0,2.9427,1.283,0.2,143,0.3176,swk_Latn,,,,260,1,0.004,head
sel_Cyrl,Cyrl,111,2.049,3.6511,10.302,0.2,391,0.1965,ldn_Latn,0.2492,lbe_Cyrl,0.6099,0,0,0.0,flat_magnet
ses_Latn,Latn,22094,4.344,2.8711,0.282,0.2,60,0.4713,dje_Latn,0.9187,fuh_Latn,0.9015,12,0,0.0,head
sey_Latn,Latn,17722,4.249,2.7593,-1.283,0.2,3,0.9591,snn_Latn,1.2849,zpc_Latn,0.9987,21,0,0.0,mid
sfw_Latn,Latn,8107,3.909,2.9176,0.932,0.2,133,0.4672,twi_Latn,0.4672,twi_Latn,0.0811,5,13,2.167,mid
sgb_Latn,Latn,17786,4.25,2.8995,0.679,0.2,69,0.6296,xsb_Latn,0.6296,xsb_Latn,0.998,9,0,0.0,mid
sgc_Latn,Latn,11896,4.075,2.9465,1.337,0.2,111,0.1866,niq_Latn,0.1866,niq_Latn,0.3954,4,1,0.2,mid
sgh_Cyrl,Cyrl,614,2.789,3.3107,5.815,0.2,201,0.3609,lez_Cyrl,0.4974,tkr_Cyrl,0.7902,1,1,0.5,flat_magnet
sgs_Latn,Latn,8518,3.93,2.918,0.939,0.2,214,0.4323,lit_Latn,0.4323,lit_Latn,0.0852,6,25,3.571,mid
sgw_Ethi,Ethi,13446,4.129,2.6693,-0.516,0.2,8,0.3859,amh_Ethi,0.3859,amh_Ethi,0.1345,6,0,0.0,mid
sgz_Latn,Latn,28351,4.453,2.8074,-0.61,0.2,6,0.9566,lbb_Latn,1.18,pam_Latn,0.8297,7,1,0.125,head
shi_Latn,Latn,8865,3.948,2.83,-0.293,0.2,72,0.635,kab_Latn,0.635,kab_Latn,0.0887,7,0,0.0,mid
shk_Latn,Latn,6733,3.828,2.8256,-0.355,0.2,43,0.8585,zpj_Latn,1.1101,mfq_Latn,0.3124,5,0,0.0,mid
shn_Mymr,Mymr,32679,4.514,2.7337,0.544,0.2,0,1.0609,mnw_Mymr,1.1749,mya_Mymr,0.3268,30,0,0.0,head
shp_Latn,Latn,71688,4.855,2.8226,-0.397,0.2,35,0.7872,kaq_Latn,1.0229,glg_Latn,0.7169,27,1,0.036,head
shr_Latn,Latn,12550,4.099,2.9711,1.682,0.2,212,0.1856,hav_Latn,0.5466,cgg_Latn,0.363,13,1,0.071,twin
shu_Arab,Arab,4298,3.633,2.8016,-0.808,0.2,36,0.4687,aeb_Arab,0.4687,aeb_Arab,0.1663,4,2,0.4,mid
sid_Latn,Latn,100000,5.0,2.8685,0.245,0.2,49,0.7199,wal_Latn,,,,109,0,0.0,head
sig_Latn,Latn,17703,4.248,2.7611,-1.258,0.2,5,0.9317,kmy_Latn,0.9432,bib_Latn,0.9943,18,0,0.0,mid
sil_Latn,Latn,13450,4.129,2.8244,-0.372,0.2,34,0.8879,mev_Latn,0.9245,vag_Latn,0.7544,15,0,0.0,mid
sim_Latn,Latn,24094,4.382,2.8329,-0.253,0.2,11,0.9567,diu_Latn,1.1542,jav_Latn,0.2409,11,0,0.0,head
sin_Sinh,Sinh,100000,5.0,2.5595,0.0,0.2,0,1.2796,lad_Hebr,,,,457,0,0.0,head
sja_Latn,Latn,22053,4.343,2.788,-0.882,0.2,7,0.957,eme_Latn,1.2867,arg_Latn,0.851,17,0,0.0,head
sjo_Mong,Mong,688,2.838,2.8909,0.0,0.2,68,0.6894,ldn_Latn,,,,0,0,0.0,isolated_tail
sju_Latn,Latn,102,2.013,3.6884,11.72,0.2,1045,0.161,ldn_Latn,0.161,ldn_Latn,0.9623,0,1,1.0,flat_magnet
skg_Latn,Latn,44788,4.651,2.8698,0.264,0.2,63,0.3519,xmv_Latn,0.3519,xmv_Latn,0.7872,44,1,0.022,head
skr_Arab,Arab,2026,3.307,3.0731,4.878,0.2,92,0.3709,pnb_Arab,0.3709,pnb_Arab,0.0203,1,2,1.0,mid
sld_Latn,Latn,13475,4.13,2.8476,-0.047,0.2,32,0.7467,kdh_Latn,0.9038,nko_Latn,0.7633,11,0,0.0,mid
slk_Latn,Latn,100000,5.0,2.9288,1.089,0.2,121,0.3008,ces_Latn,,,,2900,21,0.007,head
sll_Latn,Latn,24338,4.386,2.8609,0.139,0.2,32,0.8171,gvf_Latn,0.8171,gvf_Latn,0.9963,7,0,0.0,head
slv_Latn,Latn,100000,5.0,2.9297,1.102,0.2,170,0.2213,hbs_Latn,,,,3293,45,0.014,twin
sma_Latn,Latn,11624,4.065,2.8806,0.415,0.2,156,0.5807,smj_Latn,0.7325,sme_Latn,0.1162,12,3,0.231,mid
sme_Latn,Latn,100000,5.0,2.9269,1.062,0.2,154,0.3818,smj_Latn,,,,164,13,0.079,head
smj_Latn,Latn,7981,3.902,2.9257,1.046,0.2,184,0.3818,sme_Latn,0.3818,sme_Latn,0.0798,7,1,0.125,mid
smk_Latn,Latn,17697,4.248,2.9235,1.015,0.2,107,0.6539,xsb_Latn,0.6539,xsb_Latn,0.993,13,1,0.071,mid
sml_Latn,Latn,13435,4.128,2.9144,0.888,0.2,83,0.7667,yka_Latn,0.7667,yka_Latn,0.5389,13,0,0.0,mid
smn_Latn,Latn,12132,4.084,2.9332,1.151,0.2,135,0.5727,sme_Latn,0.5727,sme_Latn,0.1213,12,1,0.077,mid
smo_Latn,Latn,100000,5.0,2.816,-0.489,0.2,20,0.5961,fud_Latn,,,,1323,1,0.001,head
sms_Latn,Latn,5951,3.775,2.8532,0.031,0.2,118,0.6071,smn_Latn,0.6071,smn_Latn,0.4905,4,3,0.6,mid
smt_Latn,Latn,17824,4.251,2.8855,0.483,0.2,82,0.351,pck_Latn,0.351,pck_Latn,0.4754,19,0,0.0,mid
sna_Latn,Latn,100000,5.0,2.9427,1.283,0.2,164,0.2425,ndc_Latn,,,,1707,12,0.007,head
snc_Latn,Latn,24563,4.39,2.8024,-0.68,0.2,12,0.8091,meu_Latn,0.8091,meu_Latn,0.2456,6,0,0.0,head
snd_Arab,Arab,100000,5.0,2.7577,-1.728,0.2,26,0.6483,glk_Arab,,,,120,6,0.05,head
snd_Deva,Deva,2147,3.332,2.9965,1.803,0.2,90,0.269,kas_Deva,0.269,kas_Deva,0.2971,2,1,0.333,mid
snd_Latn,Latn,4155,3.619,3.0892,3.334,0.2,511,0.3981,pan_Latn,0.6005,hin_Latn,0.1199,4,7,1.4,mid
snf_Latn,Latn,11027,4.042,2.8907,0.556,0.2,63,0.8322,otw_Latn,0.9083,ffm_Latn,0.4504,14,0,0.0,mid
snn_Latn,Latn,17690,4.248,2.7731,-1.089,0.2,1,0.9591,sey_Latn,0.9591,sey_Latn,0.9982,8,0,0.0,mid
snp_Latn,Latn,48512,4.686,2.8315,-0.272,0.2,2,0.8237,yby_Latn,1.0848,loz_Latn,0.4851,13,0,0.0,head
snw_Latn,Latn,17742,4.249,2.8297,-0.297,0.2,33,0.8461,bov_Latn,0.9491,bam_Latn,0.9489,8,0,0.0,mid
sny_Latn,Latn,24185,4.384,2.7961,-0.768,0.2,0,1.0132,ldn_Latn,1.2991,diq_Latn,0.8623,10,0,0.0,head
soe_Latn,Latn,945,2.976,3.3047,6.35,0.2,360,0.4198,ldn_Latn,0.5098,tll_Latn,0.0095,1,0,0.0,flat_magnet
som_Latn,Latn,100000,5.0,2.9399,1.245,0.2,89,0.665,gaz_Latn,,,,240,0,0.0,head
sop_Latn,Latn,100000,5.0,2.9126,0.863,0.2,151,0.4013,lub_Latn,,,,168,3,0.018,head
soq_Latn,Latn,28667,4.457,2.8404,-0.148,0.2,22,0.9537,mrv_Latn,1.1007,mti_Latn,0.7563,13,0,0.0,head
sot_Latn,Latn,73326,4.865,2.893,0.589,0.2,67,0.3876,tsn_Latn,0.3876,tsn_Latn,0.7333,74,6,0.08,head
soy_Latn,Latn,17800,4.25,2.7683,-1.157,0.2,4,0.9238,mkl_Latn,0.9356,tbz_Latn,0.3392,15,0,0.0,mid
spa_Latn,Latn,100000,5.0,3.0238,2.418,0.2,235,0.2215,ast_Latn,,,,3010,41,0.014,twin
spl_Latn,Latn,21813,4.339,2.8169,-0.477,0.2,2,0.7956,tim_Latn,0.7956,tim_Latn,0.7105,7,0,0.0,head
spm_Latn,Latn,2755,3.44,2.9361,1.191,0.2,90,0.7397,diu_Latn,0.7974,msy_Latn,0.1154,2,0,0.0,mid
spp_Latn,Latn,17708,4.248,2.8361,-0.208,0.2,30,0.9079,myk_Latn,0.9079,myk_Latn,0.9855,11,0,0.0,mid
sps_Latn,Latn,24920,4.397,2.8313,-0.276,0.2,15,0.9329,mrv_Latn,1.1334,bjn_Latn,0.9011,7,0,0.0,head
spy_Latn,Latn,19910,4.299,2.8244,-0.372,0.2,18,0.5399,enb_Latn,1.1266,niq_Latn,0.6617,15,0,0.0,head
srd_Latn,Latn,48717,4.688,3.0348,2.573,0.2,280,0.3181,cos_Latn,0.3447,scn_Latn,0.7834,39,26,0.65,head
sri_Latn,Latn,17537,4.244,2.7989,-0.729,0.2,14,0.8508,des_Latn,0.9073,tue_Latn,0.9946,14,0,0.0,mid
srm_Latn,Latn,65066,4.813,2.7973,-0.75,0.2,3,0.8087,djk_Latn,0.8087,djk_Latn,0.7072,51,0,0.0,head
srn_Latn,Latn,100000,5.0,2.8235,-0.384,0.2,70,0.5417,djk_Latn,,,,901,2,0.002,head
srp_Cyrl,Cyrl,100000,5.0,2.8562,-0.178,0.2,48,0.2032,mkd_Cyrl,,,,1121,29,0.026,twin
srp_Latn,Latn,79008,4.898,2.9375,1.211,0.2,158,0.1396,hbs_Latn,0.1396,hbs_Latn,0.7901,76,214,2.779,twin
srq_Latn,Latn,10959,4.04,2.8049,-0.644,0.2,34,0.8305,tpn_Latn,1.038,gui_Latn,0.3893,12,0,0.0,mid
srr_Latn,Latn,2867,3.458,3.0777,3.173,0.2,301,0.5564,zpj_Latn,0.6853,wol_Latn,0.0411,2,0,0.0,mid
ssd_Latn,Latn,29416,4.469,2.819,-0.447,0.2,12,0.9535,thv_Latn,1.1429,jav_Latn,0.2942,9,0,0.0,head
ssg_Latn,Latn,24525,4.39,2.8469,-0.057,0.2,32,0.9205,thv_Latn,1.0901,sun_Latn,0.2452,10,0,0.0,head
ssw_Latn,Latn,100000,5.0,2.9263,1.054,0.2,188,0.3284,zul_Latn,,,,354,3,0.008,head
ssx_Latn,Latn,22160,4.346,2.7598,-1.276,0.2,0,1.0197,mrv_Latn,1.2214,knv_Latn,0.4045,6,0,0.0,head
stn_Latn,Latn,13415,4.128,2.8591,0.114,0.2,43,0.7978,agw_Latn,0.7978,agw_Latn,0.3425,14,0,0.0,mid
stp_Latn,Latn,17750,4.249,2.7865,-0.902,0.2,1,0.9912,kdr_Latn,1.2971,mxp_Latn,0.9992,13,0,0.0,mid
stq_Latn,Latn,8966,3.953,2.8999,0.685,0.2,89,0.6656,gos_Latn,0.7035,fry_Latn,0.0897,10,1,0.091,mid
sua_Latn,Latn,23474,4.371,2.8511,0.002,0.2,14,0.9483,asm_Latn,1.0967,rmy_Latn,0.3325,4,0,0.0,head
suc_Latn,Latn,11025,4.042,2.8677,0.235,0.2,41,0.8339,drg_Latn,1.0247,atd_Latn,0.6265,8,0,0.0,mid
sue_Latn,Latn,24412,4.388,2.8213,-0.415,0.2,24,0.8532,zia_Latn,1.1198,soq_Latn,0.8516,7,0,0.0,head
suk_Latn,Latn,22242,4.347,2.9243,1.026,0.2,126,0.7384,lea_Latn,0.7654,nyy_Latn,0.2241,17,0,0.0,head
sun_Latn,Latn,100000,5.0,3.0585,2.905,0.2,303,0.3698,bjn_Latn,,,,131,6,0.045,head
sur_Latn,Latn,13529,4.131,2.8099,-0.575,0.2,34,0.9069,mgm_Latn,1.0393,fuv_Latn,0.4424,12,0,0.0,mid
sus_Arab,Arab,30707,4.487,2.6042,-4.942,0.2,3,0.7743,knc_Arab,1.0009,arz_Arab,0.3071,27,0,0.0,head
sus_Latn,Latn,21057,4.323,2.8239,-0.379,0.2,52,0.4171,yal_Latn,0.933,dyu_Latn,0.2106,14,0,0.0,head
suz_Deva,Deva,57138,4.757,2.743,-1.698,0.2,30,0.721,doi_Deva,0.7539,npi_Deva,0.5714,52,0,0.0,head
swb_Latn,Latn,1096,3.04,3.3259,6.646,0.2,668,0.2888,zdj_Latn,0.2888,zdj_Latn,0.6968,1,0,0.0,flat_magnet
swc_Latn,Latn,100000,5.0,2.9495,1.378,0.2,186,0.1443,swh_Latn,,,,369,32,0.086,twin
swe_Latn,Latn,100000,5.0,2.9351,1.177,0.2,163,0.392,nno_Latn,,,,3391,36,0.011,head
swg_Latn,Latn,8406,3.925,2.9167,0.92,0.2,189,0.3516,gsw_Latn,0.3516,gsw_Latn,0.0899,8,7,0.778,mid
swh_Latn,Latn,100000,5.0,3.0115,2.247,0.2,313,0.1443,swc_Latn,,,,525,52,0.099,twin
swk_Latn,Latn,6577,3.818,2.967,1.624,0.2,181,0.3176,seh_Latn,0.3176,seh_Latn,0.0658,6,2,0.286,mid
swp_Latn,Latn,25881,4.413,2.8522,0.018,0.2,51,0.8345,sbe_Latn,0.8853,meu_Latn,0.2588,17,0,0.0,head
sxb_Latn,Latn,17789,4.25,2.9025,0.721,0.2,87,0.7295,gwr_Latn,0.7347,xog_Latn,0.6622,8,0,0.0,mid
sxn_Latn,Latn,49827,4.697,2.8999,0.685,0.2,64,0.813,abs_Latn,0.9187,jav_Latn,0.4983,53,0,0.0,head
syb_Latn,Latn,10836,4.035,2.9227,1.003,0.2,68,0.8391,mgm_Latn,0.8796,plw_Latn,0.5997,12,0,0.0,mid
syc_Syrc,Syrc,7103,3.852,2.668,0.0,0.2,7,0.0804,arc_Syrc,0.8318,aii_Syrc,0.2906,6,0,0.0,mid
syl_Beng,Beng,4163,3.62,2.7255,1.522,0.2,25,0.2999,ben_Beng,0.2999,ben_Beng,0.0416,4,10,2.0,tight_lowres
syl_Latn,Latn,8549,3.932,2.8099,-0.575,0.2,117,0.7736,asm_Latn,0.8989,frr_Latn,0.792,5,21,3.5,mid
syl_Sylo,Sylo,3570,3.553,2.7322,0.0,0.2,15,0.9355,lad_Hebr,,,,4,0,0.0,mid
szb_Latn,Latn,6749,3.829,2.8616,0.148,0.2,60,0.812,aqz_Latn,1.0432,abz_Latn,0.5062,6,0,0.0,mid
szl_Latn,Latn,55404,4.744,2.9555,1.463,0.2,214,0.3593,pol_Latn,0.3593,pol_Latn,0.554,39,83,2.075,head
szy_Latn,Latn,2536,3.404,3.0167,2.319,0.2,297,0.5592,pwn_Latn,0.6812,bjn_Latn,0.0917,2,2,0.667,mid
tab_Cyrl,Cyrl,17650,4.247,2.8014,-0.9,0.2,44,0.4939,agx_Cyrl,0.7616,che_Cyrl,0.3138,15,0,0.0,mid
tac_Latn,Latn,20618,4.314,2.8461,-0.068,0.2,22,0.6224,tar_Latn,0.6224,tar_Latn,0.4412,12,0,0.0,head
tah_Latn,Latn,100000,5.0,2.7913,-0.836,0.2,14,0.5961,mrq_Latn,,,,940,0,0.0,head
taj_Deva,Deva,17753,4.249,2.7725,-1.29,0.2,30,0.6901,thl_Deva,0.7569,xsr_Deva,0.9976,8,0,0.0,mid
tam_Latn,Latn,4081,3.611,3.0277,2.473,0.2,326,0.4122,tel_Latn,0.4286,kan_Latn,0.9903,4,2,0.4,mid
tam_Taml,Taml,100000,5.0,2.6171,0.0,0.2,0,1.2636,ldn_Latn,,,,1387,0,0.0,head
tap_Latn,Latn,6921,3.84,3.002,2.113,0.2,238,0.5395,lea_Latn,0.5789,bem_Latn,0.0692,6,3,0.429,mid
taq_Latn,Latn,27347,4.437,2.8748,0.334,0.2,74,0.5329,ttq_Latn,0.728,kab_Latn,0.2735,25,3,0.115,head
taq_Tfng,Tfng,4245,3.628,2.7419,-0.533,0.2,23,0.3733,tzm_Tfng,0.7992,ttq_Tfng,0.9925,5,0,0.0,mid
tar_Latn,Latn,46732,4.67,2.885,0.477,0.2,78,0.6224,tac_Latn,0.9201,spa_Latn,0.4673,36,0,0.0,head
tat_Cyrl,Cyrl,100000,5.0,2.8831,0.177,0.2,64,0.3039,bak_Cyrl,,,,331,9,0.027,head
tat_Latn,Latn,885,2.947,3.283,6.046,0.2,416,0.3982,kdr_Latn,0.4192,crh_Latn,0.0513,1,3,1.5,flat_magnet
tav_Latn,Latn,17136,4.234,2.8291,-0.306,0.2,18,0.703,bao_Latn,0.703,bao_Latn,0.9602,6,0,0.0,mid
taw_Latn,Latn,17319,4.239,2.7899,-0.855,0.2,7,0.6975,kmh_Latn,0.6975,kmh_Latn,0.3715,11,0,0.0,mid
tay_Latn,Latn,743,2.872,3.0526,2.822,0.2,284,0.4781,trv_Latn,0.4781,trv_Latn,0.1404,1,0,0.0,isolated_tail
tbc_Latn,Latn,24280,4.385,2.8547,0.052,0.2,32,0.9058,mgm_Latn,1.0761,pag_Latn,0.2428,7,0,0.0,head
tbg_Latn,Latn,44840,4.652,2.7757,-1.054,0.2,1,0.7731,omw_Latn,1.2294,sna_Latn,0.4484,31,0,0.0,head
tbk_Latn,Latn,10680,4.029,2.9461,1.332,0.2,81,0.7347,agn_Latn,0.7347,agn_Latn,0.6002,10,0,0.0,mid
tbl_Latn,Latn,11846,4.074,2.8512,0.003,0.2,45,0.8531,thv_Latn,1.0524,bam_Latn,0.6336,10,0,0.0,mid
tbo_Latn,Latn,24484,4.389,2.8432,-0.109,0.2,37,0.7202,tpa_Latn,1.0024,kud_Latn,0.7867,7,0,0.0,head
tbw_Latn,Latn,4287,3.632,2.942,1.273,0.2,128,0.7223,kei_Latn,0.8247,tbk_Latn,0.4014,5,0,0.0,mid
tby_Latn,Latn,13422,4.128,2.876,0.351,0.2,49,0.7275,gbi_Latn,0.7615,tlb_Latn,0.999,11,0,0.0,mid
tbz_Latn,Latn,52480,4.72,2.8106,-0.565,0.2,2,0.9356,soy_Latn,1.2462,kpe_Latn,0.6699,47,0,0.0,head
tca_Latn,Latn,17326,4.239,2.717,-1.875,0.2,0,1.019,zpj_Latn,1.2411,hch_Latn,0.5618,22,0,0.0,mid
tcc_Latn,Latn,17823,4.251,2.8624,0.159,0.2,73,0.8479,kan_Latn,0.9713,som_Latn,0.1782,12,0,0.0,mid
tcf_Latn,Latn,100000,5.0,2.7887,-0.871,0.2,2,0.9929,mgm_Latn,,,,93,0,0.0,head
tcs_Latn,Latn,22712,4.356,2.8058,-0.631,0.2,27,0.8517,tpi_Latn,0.8517,tpi_Latn,0.2271,13,1,0.071,head
tcy_Knda,Knda,8457,3.927,2.6526,0.0,0.2,5,0.1121,kan_Knda,0.1121,kan_Knda,0.0846,8,12,1.333,mid
tcz_Latn,Latn,68634,4.837,2.9312,1.122,0.2,73,0.6207,smt_Latn,0.8658,cfm_Latn,0.8501,72,0,0.0,head
tdx_Latn,Latn,55963,4.748,2.8381,-0.18,0.2,50,0.3568,skg_Latn,0.5475,xmv_Latn,0.9836,49,0,0.0,head
ted_Latn,Latn,17646,4.247,2.8094,-0.581,0.2,4,0.4521,ktj_Latn,0.866,wob_Latn,0.9941,7,0,0.0,mid
tee_Latn,Latn,17807,4.251,2.8005,-0.706,0.2,6,0.8392,tpt_Latn,0.8392,tpt_Latn,0.999,22,0,0.0,mid
tel_Latn,Latn,4040,3.606,3.1354,3.98,0.2,647,0.2699,kan_Latn,0.2699,kan_Latn,0.9803,4,3,0.6,mid
tel_Telu,Telu,100000,5.0,2.6481,-1.101,0.2,2,0.3761,kff_Telu,,,,549,0,0.0,head
tem_Latn,Latn,13526,4.131,2.828,-0.322,0.2,39,0.6861,bsp_Latn,0.9667,bam_Latn,0.7234,8,0,0.0,mid
teo_Latn,Latn,41825,4.621,2.9311,1.122,0.2,84,0.5847,kdj_Latn,0.9687,min_Latn,0.4183,39,0,0.0,head
ter_Latn,Latn,17895,4.253,2.8384,-0.175,0.2,28,0.8873,tpw_Latn,1.0158,gug_Latn,0.1789,11,0,0.0,mid
tet_Latn,Latn,100000,5.0,2.8834,0.454,0.2,61,0.8114,mgm_Latn,,,,392,1,0.003,head
tew_Latn,Latn,10834,4.035,2.7887,-0.871,0.2,18,0.9462,tpw_Latn,1.2668,ksh_Latn,0.9479,3,0,0.0,mid
