lang,N,category,support,f1_baseline,f1_freq_prior,f1_learned_bias,f1_floor21,f1_margin_q5,f1_margin_q5_head,f1_gt_margin_adaptive
mhr_Cyrl,100000,head,32825,0.9268029669352841,0.9201009736747207,0.958161211736045,0.925002182707139,0.926481084939329,0.926292180650423,0.9127988748241913
mhw_Latn,524,flat_magnet,24,0.5106382978723404,0.8,0.5274725274725275,0.923076923076923,0.8400000000000001,0.875,0.7457627118644068
mhx_Latn,17532,mid,1593,0.9990592662276576,0.9993726474278545,0.9990592662276576,0.9990592662276576,0.9990592662276576,0.9990592662276576,0.9981155778894472
mhy_Latn,13427,mid,2153,0.9894058037770613,0.9923769923769924,0.9907749077490774,0.9900898824613966,0.9889502762430938,0.9894058037770613,0.9897148200093501
mib_Latn,24577,head,1082,0.9976947902259106,0.9981549815498155,0.9995381062355658,0.9976947902259106,0.9976947902259106,0.9976947902259106,0.9976947902259106
mic_Latn,17716,mid,1535,0.9974009096816114,0.9974009096816114,0.9986987638256344,0.9974009096816114,0.9970769730431959,0.9974009096816114,1.0
mie_Latn,17822,mid,1501,0.9980053191489361,0.9983372131692717,0.9983372131692717,0.9986693280106453,0.9980053191489361,0.9980053191489361,1.0
mif_Latn,17711,mid,1874,0.9984008528784649,0.9984008528784649,0.9986670221274326,0.9984008528784649,0.9984008528784649,0.9984008528784649,0.9989333333333333
mig_Latn,17825,mid,1526,0.9986910994764397,0.9986910994764397,0.9990180032733225,0.9986910994764397,0.9986910994764397,0.9986910994764397,0.9993451211525868
mih_Latn,17758,mid,1548,0.9993544222078761,0.9996771068776236,0.9993544222078761,0.9993544222078761,0.9993544222078761,0.9993544222078761,1.0
mil_Latn,17720,mid,1496,0.9996658870698296,1.0,0.9996658870698296,1.0,0.9996658870698296,0.9996658870698296,1.0
mim_Latn,6759,mid,972,0.9994858611825194,1.0,0.9994858611825194,0.9994858611825194,0.9994858611825194,0.9994858611825194,0.9848563968668408
min_Arab,847,isolated_tail,38,0.1511111111111111,0.3222748815165877,0.33009708737864074,0.19825072886297376,0.6666666666666666,0.6296296296296297,0.25342465753424653
min_Latn,100000,head,24600,0.9324873985559426,0.9284996133023975,0.9458382642998028,0.930459915038892,0.9321971244576743,0.9320157948997257,0.9216840893833317
mio_Latn,17742,mid,2351,0.9997873697639804,1.0,1.0,1.0,0.9997873697639804,0.9997873697639804,1.0
mip_Latn,6764,mid,986,0.9979716024340771,0.9989847715736041,0.9974657881398886,0.9979716024340771,0.9979716024340771,0.9979716024340771,0.9897750511247444
miq_Latn,86132,head,13315,0.9935989155809927,0.9932628250969175,0.9938234407954203,0.9932623179132006,0.9936368086147822,0.9936368086147822,0.9935236087054748
mir_Latn,16801,mid,2711,0.9990786806707205,0.9992628086988574,0.9992628086988574,0.9990786806707205,0.9990786806707205,0.9990786806707205,0.9990773205388448
mit_Latn,17430,mid,1512,0.9996694214876033,0.9996694214876033,0.9993390614672836,0.9993390614672836,0.9996694214876033,0.9996694214876033,1.0
miy_Latn,17828,mid,2902,1.0,1.0,1.0,1.0,1.0,1.0,1.0
miz_Latn,17822,mid,1499,0.9996665555185061,0.9996665555185061,0.9996665555185061,1.0,0.9993333333333334,0.9996665555185061,1.0
mjc_Latn,17745,mid,1509,0.9996687644915535,0.9996687644915535,0.9996687644915535,0.9996687644915535,0.9996687644915535,0.9996687644915535,0.9996687644915535
mjw_Latn,11088,mid,1746,0.9945822640433419,0.9962867752070836,0.995433789954338,0.9951470168427063,0.9945822640433419,0.9945822640433419,0.9951219512195122
mkd_Cyrl,100000,twin,153189,0.9600283353317541,0.9598229209603033,0.9647646879397034,0.959294106176571,0.9600259951259139,0.9600270342281924,0.9589009092030035
mkl_Latn,17702,mid,2440,0.9995901639344262,0.9995901639344262,0.9995901639344262,0.9995901639344262,0.9995901639344262,0.9995901639344262,0.9995901639344262
mkn_Latn,18360,head,1982,0.9845540607872447,0.9850597609561753,0.9870259481037924,0.9857890800299176,0.9843088418430884,0.9843088418430884,0.9870064967516241
mks_Latn,17827,mid,1535,0.9996743731683491,0.9996743731683491,0.9996743731683491,0.9996743731683491,0.9996743731683491,0.9996743731683491,0.9990218454515812
mkz_Latn,1446,mid,70,0.8192771084337349,0.9189189189189189,0.85,0.9510489510489512,0.8,0.8192771084337349,0.9411764705882354
mlh_Latn,31269,head,1172,0.9953251168720783,0.9953251168720783,0.9953251168720783,0.9949022939677146,0.9953251168720783,0.9953251168720783,0.9949022939677146
mlp_Latn,24038,head,1071,0.9935004642525535,0.9944237918215613,0.9958120055839925,0.9944237918215613,0.9935004642525535,0.9935004642525535,0.9958120055839925
mlt_Latn,100000,head,334548,0.96145859070747,0.956546890384104,0.9694126522706247,0.9579937230653927,0.9612680715186691,0.9609194186184915,0.9389711431472313
mlu_Latn,815,flat_magnet,35,0.3888888888888889,0.5426356589147286,0.4,0.7446808510638298,0.7529411764705883,0.7586206896551724,0.7173913043478262
