lang,N,degenerate,f1_nemo_baseline,fp_nemo_baseline,f1_nemo_floor21,fp_nemo_floor21,f1_nemo_gated,fp_nemo_gated,support
tik_Latn,13464,False,1.0,0,0.9997873697639804,0,0.9997873697639804,0,2352
tim_Latn,30702,False,0.9982773471145565,3,0.9987074536837571,2,0.9987074536837571,2,1160
tir_Ethi,100000,False,0.9697657465373024,2837,0.9709645706223593,2873,0.9715557587316814,2985,134247
tiv_Latn,100000,False,0.9983360348858893,55,0.9983081224460534,89,0.9980506822612085,130,69774
tiy_Latn,17716,False,0.9959723820483314,14,0.9959700633275764,13,0.9988452655889146,3,1731
tke_Latn,14338,False,0.894907908992416,549,0.9013313879263177,501,0.925244177310293,350,2511
tkl_Latn,505,False,0.21981981981981985,404,0.6744186046511628,24,0.6805555555555556,5,90
tkr_Cyrl,777,False,0.9444444444444444,16,0.974910394265233,7,0.9963369963369962,1,136
tku_Latn,17821,False,0.9860518075718759,35,0.9846416382252561,39,0.9846416382252561,39,1746
tlb_Latn,13436,False,0.9864158829676072,64,0.9893104171033327,50,0.9961993243243243,16,2361
tlf_Latn,23775,False,0.9959116925592805,10,0.996319018404908,9,0.996319018404908,9,1218
tlh_Latn,42807,False,0.987760016052438,134,0.9866256519994651,144,0.9866256519994651,144,7433
tlj_Latn,17791,False,0.9919770773638968,27,0.992545871559633,25,0.9968327094730781,10,1732
tll_Latn,100000,False,0.9944871026144058,109,0.9949801357631881,136,0.9948965356893746,205,86254
tly_Latn,3892,False,0.1776602775941837,6217,0.2002387347060579,5355,0.8923283983849261,147,676
tmc_Latn,6765,False,0.9953878406708595,11,0.9974789915966387,6,0.9991582491582491,2,1187
tmd_Latn,17323,False,0.9991220368744513,1,0.9994148624926857,1,0.9997073456248171,0,1709
tna_Latn,23936,False,0.9862459546925566,34,0.9910569105691057,22,0.9910569105691057,22,1219
tnc_Latn,5146,False,0.9950303699613473,9,0.9977851605758583,4,0.998891352549889,2,901
tnk_Latn,17717,False,0.9991194599354271,1,0.998825601879037,1,0.9991189427312775,0,1704
tnn_Latn,17665,False,0.9968162083936324,5,0.9968162083936324,5,0.9971048060220035,4,1728
tnp_Latn,10970,False,0.9984383133784487,6,0.998177557927623,6,0.9986975774941391,4,1918
tnr_Latn,6516,False,0.9969418960244648,7,0.9973776223776224,6,0.9991235758106923,1,1141
tob_Latn,42001,False,0.9942355201756794,28,0.994442538593482,28,0.994442538593482,28,7300
toc_Latn,17742,False,0.9993571198971392,2,0.9993571198971392,2,0.9995176073323685,0,3111
tod_Latn,19051,False,0.9946491362177038,25,0.9952577635000764,21,0.9952577635000764,21,3263
tog_Latn,100000,False,0.9616663492947017,1505,0.9598771301104366,1616,0.9585772897837609,1725,33938
toh_Latn,89915,False,0.9855238095238096,375,0.9784753080583657,604,0.9784753080583657,604,15603
toi_Latn,100000,False,0.9857959870348951,626,0.9858568139458392,702,0.9872370285651796,834,110298
toj_Latn,100000,False,0.9941824811469298,179,0.9930965979637446,247,0.9923578257848944,294,30164
tok_Latn,48852,False,0.9981100874084573,3,0.9978730946472881,2,0.9978730946472881,2,8479
ton_Latn,100000,False,0.9981856201082243,115,0.9983083486716813,131,0.9982183030799424,189,188169
too_Latn,17821,False,0.9866898148148149,20,0.9863807592002319,18,0.9863807592002319,18,1731
top_Latn,100000,False,0.9857494768627659,46,0.9868920545481,52,0.9928539526574364,90,38245
tos_Latn,17720,False,0.8804995742265115,840,0.8837606837606837,814,0.9474166921430756,339,3104
tpa_Latn,1672,False,0.705521472392638,96,0.8127208480565371,53,0.8333333333333333,46,115
tpi_Latn,100000,False,0.9951725483999889,125,0.9951484824601841,137,0.9952181387353064,168,270156
tpm_Latn,56620,False,0.9937402190923318,41,0.9936365533069059,43,0.9936365533069059,43,9604
