lang,N,category,support_derive,support_judge,f1_baseline,f1_unmod_gate,f1_floor21,f1_floor21_gate,f1_gt_min,f1_gt_margin_adaptive,f1_freq_prior,f1_learned_bias,f1_margin_q5,f1_margin_q5_head
gbo_Latn,6764,mid,388,594,1.0,0.9869451697127937,1.0,0.982961992136304,1.0,0.9842931937172774,1.0,1.0,1.0,1.0
gbr_Latn,10708,mid,675,1006,0.9977827050997783,0.9925484351713861,0.9977827050997783,0.9887808526551982,0.9977827050997783,0.9910447761194031,0.9985207100591716,0.9985207100591716,0.9977827050997783,0.9977827050997783
gcf_Latn,67389,head,4553,6934,0.9811988498119886,0.9811988498119886,0.9804614195827354,0.9804614195827354,0.9816452896948253,0.9816452896948253,0.9811112338451342,0.9816452896948253,0.9811988498119886,0.9811988498119886
gcr_Latn,26871,head,1791,2699,0.9668765398302765,0.9668765398302765,0.9663105998356614,0.9663105998356614,0.9690156292843433,0.9690156292843433,0.9665936473165389,0.9647829647829648,0.9668765398302765,0.9668765398302765
gde_Latn,17787,mid,910,1462,1.0,1.0,1.0,0.999450247388675,1.0,0.999450247388675,1.0,1.0,1.0,1.0
gdg_Latn,10967,mid,681,1023,0.9883551673944687,0.995601173020528,0.9897959183673469,0.9926470588235295,0.9897959183673469,0.9941262848751835,0.9941434846266471,0.9912408759124088,0.9883551673944687,0.9883551673944687
gdn_Latn,23906,head,434,586,0.9965556831228473,0.9965556831228473,0.9988492520138089,0.9988492520138089,0.9988492520138089,0.9988492520138089,0.9977011494252873,0.9977011494252873,0.9965556831228473,0.9965556831228473
gdr_Latn,24452,head,430,632,0.996523754345307,0.996523754345307,0.9953703703703703,0.9953703703703703,0.996523754345307,0.996523754345307,0.9976798143851509,0.9976798143851509,0.996523754345307,0.996523754345307
geb_Latn,17527,mid,1043,1449,0.9990412272291467,0.9985611510791367,0.9990403071017274,0.9990403071017274,0.9990403071017274,0.9990403071017274,0.9990412272291467,0.9990412272291467,0.9990412272291467,0.9990412272291467
gej_Latn,6763,mid,412,574,0.9987878787878788,0.9938949938949938,0.9987878787878788,0.9877149877149877,0.9987878787878788,0.9901960784313726,0.9987878787878788,0.9987878787878788,0.9987878787878788,0.9987878787878788
